district_id,district_name,population_index,literacy_rate,development_zone,project_status,priority_score,district_website,image_url,summary
IN-REGION-27-DISTRICT-522,Ahilyanagar,74,80.2,Agricultural,Active,72,https://example.com/districts/ahilyanagar,https://placehold.co/800x420/edf5f2/173d32?text=Ahilyanagar,Demo profile for Ahilyanagar district
IN-REGION-27-DISTRICT-501,Akola,58,88.1,Agricultural,Planning,61,https://example.com/districts/akola,https://placehold.co/800x420/edf5f2/173d32?text=Akola,Demo profile for Akola district
IN-REGION-27-DISTRICT-503,Amravati,69,87.4,Urban,Active,76,https://example.com/districts/amravati,https://placehold.co/800x420/edf5f2/173d32?text=Amravati,Demo profile for Amravati district
IN-REGION-27-DISTRICT-523,Beed,62,76.8,Agricultural,Needs review,84,https://example.com/districts/beed,https://placehold.co/800x420/edf5f2/173d32?text=Beed,Demo profile for Beed district
IN-REGION-27-DISTRICT-506,Bhandara,51,83.6,Forest,Active,67,https://example.com/districts/bhandara,https://placehold.co/800x420/edf5f2/173d32?text=Bhandara,Demo profile for Bhandara district
IN-REGION-27-DISTRICT-500,Buldhana,64,82.1,Agricultural,Planning,70,https://example.com/districts/buldhana,https://placehold.co/800x420/edf5f2/173d32?text=Buldhana,Demo profile for Buldhana district
IN-REGION-27-DISTRICT-509,Chandrapur,66,85.3,Industrial,Active,81,https://example.com/districts/chandrapur,https://placehold.co/800x420/edf5f2/173d32?text=Chandrapur,Demo profile for Chandrapur district
IN-REGION-27-DISTRICT-515,Chhatrapati Sambhajinagar,86,89.7,Industrial,Active,88,https://example.com/districts/chhatrapati-sambhajinagar,https://placehold.co/800x420/edf5f2/173d32?text=Chhatrapati+Sambhajinagar,Demo profile for Chhatrapati Sambhajinagar district
IN-REGION-27-DISTRICT-525,Dharashiv,54,78.9,Agricultural,Needs review,79,https://example.com/districts/dharashiv,https://placehold.co/800x420/edf5f2/173d32?text=Dharashiv,Demo profile for Dharashiv district
IN-REGION-27-DISTRICT-498,Dhule,59,74.6,Agricultural,Planning,75,https://example.com/districts/dhule,https://placehold.co/800x420/edf5f2/173d32?text=Dhule,Demo profile for Dhule district
IN-REGION-27-DISTRICT-508,Gadchiroli,43,79.2,Forest,Needs review,95,https://example.com/districts/gadchiroli,https://placehold.co/800x420/edf5f2/173d32?text=Gadchiroli,Demo profile for Gadchiroli district
IN-REGION-27-DISTRICT-507,Gondia,49,85.0,Forest,Active,73,https://example.com/districts/gondia,https://placehold.co/800x420/edf5f2/173d32?text=Gondia,Demo profile for Gondia district
IN-REGION-27-DISTRICT-512,Hingoli,46,77.5,Agricultural,Planning,82,https://example.com/districts/hingoli,https://placehold.co/800x420/edf5f2/173d32?text=Hingoli,Demo profile for Hingoli district
IN-REGION-27-DISTRICT-499,Jalgaon,78,81.4,Agricultural,Active,69,https://example.com/districts/jalgaon,https://placehold.co/800x420/edf5f2/173d32?text=Jalgaon,Demo profile for Jalgaon district
IN-REGION-27-DISTRICT-514,Jalna,57,79.8,Industrial,Planning,77,https://example.com/districts/jalna,https://placehold.co/800x420/edf5f2/173d32?text=Jalna,Demo profile for Jalna district
IN-REGION-27-DISTRICT-530,Kolhapur,82,90.1,Industrial,Active,71,https://example.com/districts/kolhapur,https://placehold.co/800x420/edf5f2/173d32?text=Kolhapur,Demo profile for Kolhapur district
IN-REGION-27-DISTRICT-524,Latur,68,82.7,Urban,Active,80,https://example.com/districts/latur,https://placehold.co/800x420/edf5f2/173d32?text=Latur,Demo profile for Latur district
IN-REGION-27-DISTRICT-519,Mumbai City,99,94.8,Metro,Complete,48,https://example.com/districts/mumbai-city,https://placehold.co/800x420/edf5f2/173d32?text=Mumbai+City,Demo profile for Mumbai City district
IN-REGION-27-DISTRICT-518,Mumbai Suburban,97,93.6,Metro,Active,55,https://example.com/districts/mumbai-suburban,https://placehold.co/800x420/edf5f2/173d32?text=Mumbai+Suburban,Demo profile for Mumbai Suburban district
IN-REGION-27-DISTRICT-505,Nagpur,91,92.4,Metro,Active,74,https://example.com/districts/nagpur,https://placehold.co/800x420/edf5f2/173d32?text=Nagpur,Demo profile for Nagpur district
IN-REGION-27-DISTRICT-511,Nanded,73,84.2,Urban,Planning,83,https://example.com/districts/nanded,https://placehold.co/800x420/edf5f2/173d32?text=Nanded,Demo profile for Nanded district
IN-REGION-27-DISTRICT-497,Nandurbar,41,71.9,Forest,Needs review,98,https://example.com/districts/nandurbar,https://placehold.co/800x420/edf5f2/173d32?text=Nandurbar,Demo profile for Nandurbar district
IN-REGION-27-DISTRICT-516,Nashik,89,91.0,Industrial,Active,78,https://example.com/districts/nashik,https://placehold.co/800x420/edf5f2/173d32?text=Nashik,Demo profile for Nashik district
IN-REGION-27-DISTRICT-732,Palghar,76,86.5,Coastal,Active,86,https://example.com/districts/palghar,https://placehold.co/800x420/edf5f2/173d32?text=Palghar,Demo profile for Palghar district
IN-REGION-27-DISTRICT-513,Parbhani,56,78.3,Agricultural,Planning,85,https://example.com/districts/parbhani,https://placehold.co/800x420/edf5f2/173d32?text=Parbhani,Demo profile for Parbhani district
IN-REGION-27-DISTRICT-521,Pune,96,95.2,Metro,Complete,52,https://example.com/districts/pune,https://placehold.co/800x420/edf5f2/173d32?text=Pune,Demo profile for Pune district
IN-REGION-27-DISTRICT-520,Raigad,79,88.8,Coastal,Active,68,https://example.com/districts/raigad,https://placehold.co/800x420/edf5f2/173d32?text=Raigad,Demo profile for Raigad district
IN-REGION-27-DISTRICT-528,Ratnagiri,63,89.4,Coastal,Planning,66,https://example.com/districts/ratnagiri,https://placehold.co/800x420/edf5f2/173d32?text=Ratnagiri,Demo profile for Ratnagiri district
IN-REGION-27-DISTRICT-531,Sangli,72,88.0,Agricultural,Active,64,https://example.com/districts/sangli,https://placehold.co/800x420/edf5f2/173d32?text=Sangli,Demo profile for Sangli district
IN-REGION-27-DISTRICT-527,Satara,70,89.9,Agricultural,Complete,60,https://example.com/districts/satara,https://placehold.co/800x420/edf5f2/173d32?text=Satara,Demo profile for Satara district
IN-REGION-27-DISTRICT-529,Sindhudurg,52,91.6,Coastal,Active,58,https://example.com/districts/sindhudurg,https://placehold.co/800x420/edf5f2/173d32?text=Sindhudurg,Demo profile for Sindhudurg district
IN-REGION-27-DISTRICT-526,Solapur,81,83.5,Industrial,Needs review,87,https://example.com/districts/solapur,https://placehold.co/800x420/edf5f2/173d32?text=Solapur,Demo profile for Solapur district
IN-REGION-27-DISTRICT-517,Thane,94,93.1,Metro,Active,63,https://example.com/districts/thane,https://placehold.co/800x420/edf5f2/173d32?text=Thane,Demo profile for Thane district
IN-REGION-27-DISTRICT-504,Wardha,55,87.7,Agricultural,Complete,57,https://example.com/districts/wardha,https://placehold.co/800x420/edf5f2/173d32?text=Wardha,Demo profile for Wardha district
IN-REGION-27-DISTRICT-502,Washim,47,81.0,Agricultural,Planning,89,https://example.com/districts/washim,https://placehold.co/800x420/edf5f2/173d32?text=Washim,Demo profile for Washim district
IN-REGION-27-DISTRICT-510,Yavatmal,67,80.6,Forest,Needs review,92,https://example.com/districts/yavatmal,https://placehold.co/800x420/edf5f2/173d32?text=Yavatmal,Demo profile for Yavatmal district
